Location,Vb
Agra,47
Ahmedabad,39
Ajmer,47
Almora,47
Amritsar,47
Asansol,47
Aurangabad,39
Bahraich,47
Barauni,33
Bengaluru,47
Bareilly,47
Bhatinda,47
Bhilai,39
Bhopal,39
Bhubaneshwar,50
Bhuj,50
Bikaner,47
Bokaro,47
Chandigarh,47
Chennai,50
Coimbatore,39
Cuttack,50
Darbhanga,55
Darjeeling,47
Dehradun,47
Delhi,47
Durgapur,47
Gangtok,47
Guwahati,50
Gaya,39
Gorakhpur,47
Hyderabad,44
Imphal,47
Jabalpur,47
Jaipur,47
Jamshedpur,47
Jhansi,47
Jodhpur,47
Kanpur,47
Kohima,44
Kolkata,50
Kozhikode,39
Kurnool,39
Lakshadeep,39
Lucknow,47
Ludhiana,47
Madurai,39
Mandi,39
Mangalore,39
Moradabad,47
Mumbai,44
Mysore,33
Nagpur,44
Nainital,47
Nasik,39
Nellore,50
Panjim,39
Patiala,47
Patna,47
Puducherry,50
Port Blaire,44
Pune,39
Raipur,39
Rajkot,39
Ranchi,39
Rourkee,39
Rourkela,39
Shimla,39
Srinagar,39
Surat,44
Tiruchirapalli,47
Trivandrum,39
Udaipur,47
Vadodara,44
Varanasi,47
Vijayawada,50
Vishakapatanam,50
